Survey Years,Sex,Age Group,Race and Hispanic Origin,Infectious Disease,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Notea
1999-2000,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.5,1.1,60.0,64.9,,,
1999-2000,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),55.4,1.7,51.5,59.2,,,
1999-2000,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),70.7,3.1,63.4,77.3,,,
1999-2000,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
1999-2000,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
1999-2000,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),85.6,1.8,81.0,89.4,,,
1999-2000,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),58.8,1.8,54.8,62.6,,,
1999-2000,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.9,1.9,59.6,68.0,,,
1999-2000,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),64.6,1.6,60.8,68.2,,,
1999-2000,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),64.2,1.3,61.3,66.9,,,
1999-2000,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),61.7,3.6,53.5,69.5,,,
1999-2000,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),62.1,2.4,56.8,67.2,,,
1999-2000,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),68.9,1.8,63.7,73.7,,,
1999-2000,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.7,1.3,57.5,63.9,,,
1999-2000,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),55.8,1.9,50.0,61.5,,,
1999-2000,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),65.8,2.5,60.2,71.1,,,
1999-2000,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.8,3.1,52.9,66.5,,,
2001-2002,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.5,1.7,57.8,65.2,,,
2001-2002,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),54.3,2.4,49.0,59.5,,,
2001-2002,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),70.0,2.7,63.9,75.7,,,
2001-2002,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2001-2002,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2001-2002,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),84.2,2.1,79.0,88.6,,,
2001-2002,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),53.6,2.6,47.9,59.3,,,
2001-2002,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),64.8,2.3,59.7,69.7,,,
2001-2002,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.3,2.6,59.4,71.0,,,
2001-2002,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.7,1.6,59.1,66.2,,,
2001-2002,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),57.6,2.6,51.8,63.2,,,
2001-2002,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),65.4,2.8,59.1,71.2,,,
2001-2002,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.1,3.2,57.9,71.8,,,
2001-2002,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.2,2.5,54.7,65.6,,,
2001-2002,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),49.1,3.6,41.2,57.0,,,
2001-2002,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),64.2,3.8,55.6,72.3,,,
2001-2002,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.6,4.1,56.1,74.2,,,
2003-2004,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.8,1.9,55.6,63.9,,,
2003-2004,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),52.6,2.3,47.5,57.7,,,
2003-2004,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),70.2,3.9,60.9,78.4,,,
2003-2004,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2003-2004,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2003-2004,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),83.9,2.3,78.1,88.7,,,
2003-2004,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.1,2.2,46.3,56.0,,,
2003-2004,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),61.7,3.0,55.1,68.1,,,
2003-2004,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.5,2.3,60.4,70.3,,,
2003-2004,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.9,2.2,57.1,66.6,,,
2003-2004,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.9,3.2,44.9,58.9,,,
2003-2004,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.2,2.9,56.7,69.3,,,
2003-2004,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),68.9,2.4,63.5,73.9,,,
2003-2004,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),57.7,2.1,53.0,62.2,,,
2003-2004,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),50.4,2.6,44.7,56.2,,,
2003-2004,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),60.3,3.9,51.5,68.6,,,
2003-2004,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.8,3.1,54.7,68.5,,,
2005-2006,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.6,1.8,54.8,62.4,,,
2005-2006,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),51.6,2.1,47.0,56.3,,,
2005-2006,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),62.8,2.2,57.8,67.5,,,
2005-2006,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2005-2006,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2005-2006,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),86.8,1.4,83.6,89.6,,,
2005-2006,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.5,2.6,45.8,57.2,,,
2005-2006,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),62.6,2.2,57.6,67.5,,,
2005-2006,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.0,2.5,55.5,66.3,,,
2005-2006,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.4,2.1,53.9,62.9,,,
2005-2006,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.6,2.7,45.7,57.4,,,
2005-2006,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.1,3.3,55.6,70.2,,,
2005-2006,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.9,2.6,54.1,65.5,,,
2005-2006,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.8,2.2,53.9,63.6,,,
2005-2006,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),51.5,3.3,44.4,58.6,,,
2005-2006,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),62.2,3.6,54.0,69.8,,,
2005-2006,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.0,3.9,53.1,70.4,,,
2007-2008,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.2,2.6,54.6,65.7,,,
2007-2008,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),54.5,3.6,46.5,62.3,,,
2007-2008,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),63.4,2.4,57.9,68.6,,,
2007-2008,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2007-2008,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),81.0,2.2,76.0,85.4,,,
2007-2008,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),81.1,2.2,75.9,85.6,,,
2007-2008,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),50.4,3.8,42.1,58.6,,,
2007-2008,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),65.7,2.8,59.5,71.6,,,
2007-2008,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),64.1,3.2,57.0,70.8,,,
2007-2008,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.0,3.3,54.6,68.9,,,
2007-2008,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),52.9,4.6,42.8,62.9,,,
2007-2008,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),69.9,3.3,62.3,76.7,,,
2007-2008,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.9,4.8,52.0,72.9,,,
2007-2008,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),58.5,2.6,52.9,63.9,,,
2007-2008,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),47.8,4.0,39.1,56.6,,,
2007-2008,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),61.5,2.8,55.1,67.5,,,
2007-2008,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.4,3.4,57.8,72.4,,,
2009-2010,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),56.7,2.2,51.8,61.4,,,
2009-2010,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),47.3,1.7,43.6,51.0,,,
2009-2010,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),68.3,2.4,62.9,73.4,,,
2009-2010,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2009-2010,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),81.5,1.5,78.1,84.5,,,
2009-2010,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),82.9,1.4,79.5,85.8,,,
2009-2010,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),46.6,2.5,41.2,52.1,,,
2009-2010,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),57.0,3.1,50.1,63.7,,,
2009-2010,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),65.7,2.5,60.2,70.9,,,
2009-2010,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.7,2.1,56.0,65.3,,,
2009-2010,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),52.3,2.2,47.6,57.1,,,
2009-2010,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),59.4,3.0,52.7,65.9,,,
2009-2010,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),69.3,2.5,63.6,74.6,,,
2009-2010,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),52.5,2.7,46.6,58.4,,,
2009-2010,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),41.0,3.7,33.0,49.3,,,
2009-2010,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),54.5,3.8,46.1,62.7,,,
2009-2010,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.8,3.2,54.6,68.6,,,
2011-2012,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.7,2.6,54.0,65.2,,,
2011-2012,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),53.2,2.9,46.9,59.5,,,
2011-2012,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),62.8,3.8,54.1,70.9,,,
2011-2012,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),58.7,3.4,51.2,66.0,,,
2011-2012,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),79.0,1.9,74.6,83.0,,,
2011-2012,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),80.1,2.7,73.4,85.8,,,
2011-2012,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),46.0,3.1,39.3,52.8,,,
2011-2012,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),58.9,2.7,52.9,64.7,,,
2011-2012,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),73.7,1.5,70.3,76.9,,,
2011-2012,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),62.7,3.2,55.6,69.3,,,
2011-2012,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),48.5,4.1,39.6,57.5,,,
2011-2012,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),63.0,3.4,55.3,70.2,,,
2011-2012,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),76.0,2.2,70.9,80.6,,,
2011-2012,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),56.6,2.4,51.4,61.8,,,
2011-2012,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),43.4,2.8,37.4,49.6,,,
2011-2012,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),54.6,2.9,48.4,60.8,,,
2011-2012,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),71.3,2.2,66.5,75.8,,,
2013-2014,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),54.2,1.8,50.2,58.0,,,
2013-2014,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),44.8,2.1,40.2,49.5,,,
2013-2014,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),62.5,3.2,55.3,69.3,,,
2013-2014,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),61.8,3.4,54.0,69.2,,,
2013-2014,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),73.6,1.8,69.6,77.4,,,
2013-2014,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),79.3,2.2,74.0,84.0,,,
2013-2014,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),41.7,1.9,37.6,45.9,,,
2013-2014,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),58.1,2.4,52.9,63.1,,,
2013-2014,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),63.2,3.3,55.7,70.2,,,
2013-2014,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),56.3,1.9,52.0,60.5,,,
2013-2014,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),45.1,2.9,38.8,51.5,,,
2013-2014,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),60.7,1.9,56.2,65.1,,,
2013-2014,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),63.1,3.7,54.7,70.9,,,
2013-2014,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),52.0,1.9,47.9,56.0,,,
2013-2014,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),38.2,2.0,33.6,43.0,,,
2013-2014,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),55.3,3.2,48.2,62.3,,,
2013-2014,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),63.2,3.6,54.9,71.0,,,
2015-2016,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),51.6,2.6,45.9,57.3,,,
2015-2016,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),40.0,2.2,35.2,44.9,,,
2015-2016,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),61.8,2.1,57.0,66.4,,,
2015-2016,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),60.4,3.5,52.6,67.8,,,
2015-2016,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),74.9,2.5,69.2,80.1,,,
2015-2016,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),76.5,3.1,68.9,83.0,,,
2015-2016,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),41.3,3.5,33.8,49.1,,,
2015-2016,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),54.1,2.5,48.6,59.5,,,
2015-2016,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),59.7,3.6,51.7,67.4,,,
2015-2016,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),54.6,2.4,49.4,59.7,,,
2015-2016,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),43.1,3.3,36.0,50.5,,,
2015-2016,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),59.3,2.9,52.8,65.5,,,
2015-2016,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),61.6,4.0,52.6,70.0,,,
2015-2016,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),48.5,3.3,41.3,55.8,,,
2015-2016,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),39.5,4.7,29.5,50.2,,,
2015-2016,Male,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),48.7,2.6,43.0,54.5,,,
2015-2016,Male,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),57.8,4.7,47.1,68.0,,,
2017-2018,All,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),51.3,1.5,48.1,54.5,,,
2017-2018,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 1 (HSV-1),42.4,2.1,37.9,47.1,,,
2017-2018,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 1 (HSV-1),55.2,1.6,50.7,59.7,,,
2017-2018,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 1 (HSV-1),56.0,5.4,43.3,68.1,,,
2017-2018,All,20-49,Hispanic,Herpes Simplex Virus Type 1 (HSV-1),69.6,2.0,65.1,73.8,,,
2017-2018,All,20-49,Mexican American,Herpes Simplex Virus Type 1 (HSV-1),68.3,2.4,62.6,73.6,,,
2017-2018,All,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),40.5,2.3,35.5,45.6,,,
2017-2018,All,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),54.4,2.6,48.8,59.9,,,
2017-2018,All,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),60.1,2.7,54.1,66.0,,,
2017-2018,Female,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),54.6,1.9,50.6,58.7,,,
2017-2018,Female,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),45.4,2.2,40.2,50.6,,,
2017-2018,Female,30-39,All,Herpes Simplex Virus Type 1 (HSV-1),61.2,3.5,53.3,68.7,,,
2017-2018,Female,40-49,All,Herpes Simplex Virus Type 1 (HSV-1),57.7,3.9,49.0,66.1,,,
2017-2018,Male,20-49,All,Herpes Simplex Virus Type 1 (HSV-1),47.9,1.7,44.1,51.6,,,
2017-2018,Male,20-29,All,Herpes Simplex Virus Type 1 (HSV-1),35.6,3.0,29.3,42.3,,,
